Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
726,Mario Baseball,Series,Nintendo,3.37m,N/A,N/A,N/A,N/A,N/A,29th Aug 05
727,Tekken: Dark Resurrection,PSP,Namco Bandai,3.37m,N/A,N/A,N/A,N/A,N/A,25th Jul 06
728,The Elder Scrolls V: Skyrim Special Edition,PS4,Bethesda Softworks,N/A,3.36m,1.24m,1.50m,0.08m,0.54m,28th Oct 16
729,Watch Dogs 2,PS4,Ubisoft,N/A,3.36m,0.98m,1.74m,0.12m,0.52m,15th Nov 16
730,The Legend of Zelda: Majora's Mask,N64,Nintendo,3.36m,N/A,N/A,N/A,N/A,N/A,25th Oct 00
731,WWF War Zone,PS,Acclaim Entertainment,N/A,3.36m,2.47m,0.76m,N/A,0.13m,14th Jul 98
732,Yoshi's Island DS,DS,Nintendo,3.36m,N/A,N/A,N/A,N/A,N/A,13th Nov 06
733,Jurassic Park,Series,Ocean Software,3.35m,N/A,N/A,N/A,N/A,N/A,28th Dec 93
734,Assassin's Creed IV: Black Flag,X360,Ubisoft,N/A,3.34m,1.90m,1.14m,0.01m,0.30m,29th Oct 13
735,NBA 2K18,PS4,2K Sports,N/A,3.34m,2.13m,0.57m,0.04m,0.59m,19th Sep 17
736,Big Brain Academy: Wii Degree,Wii,Nintendo,3.34m,N/A,N/A,N/A,N/A,N/A,11th Jun 07
737,Rugrats: Search For Reptar,PS,THQ,N/A,3.34m,1.63m,1.53m,N/A,0.18m,31st Oct 98
738,Luigi's Mansion,GC,Nintendo,3.33m,N/A,N/A,N/A,N/A,N/A,17th Nov 01
739,James Bond 007: Nightfire,PS2,Electronic Arts,N/A,3.33m,1.45m,1.29m,0.12m,0.46m,18th Nov 02
740,Ratchet & Clank,PS2,Sony Computer Entertainment,N/A,3.33m,1.44m,1.01m,0.57m,0.30m,07th Nov 02
741,Star Wars Episode III: Revenge of the Sith,PS2,LucasArts,N/A,3.32m,1.47m,1.39m,0.03m,0.43m,04th May 05
742,Max Payne,PS2,Rockstar Games,N/A,3.31m,1.99m,1.05m,0.05m,0.22m,06th Dec 01
743,Madden NFL 16,PS4,EA Sports,N/A,3.30m,2.39m,0.31m,N/A,0.61m,25th Aug 15
744,Commandos,Series,Eidos Interactive,3.30m,N/A,N/A,N/A,N/A,N/A,28th Aug 98
745,World of Warcraft: Legion,PC,Blizzard Entertainment,3.30m,N/A,N/A,N/A,N/A,N/A,29th Aug 16
746,World of Warcraft: Warlords of Draenor,PC,Activision Blizzard,3.30m,N/A,N/A,N/A,N/A,N/A,13th Nov 14
747,Dark Souls III,PC,Namco Bandai Games,3.29m,N/A,N/A,N/A,N/A,N/A,11th Apr 16
748,Dark Souls: Prepare to Die Edition,PC,Namco Bandai Games,3.29m,N/A,N/A,N/A,N/A,N/A,24th Aug 12
749,The Lord of the Rings: The Return of the King,PS2,Electronic Arts,N/A,3.28m,1.50m,1.28m,0.05m,0.46m,05th Nov 03
750,Half-Life 2: Episode Two,PC,Valve Software,3.28m,N/A,N/A,N/A,N/A,N/A,10th Oct 07
751,Madden NFL 17,PS4,EA Sports,N/A,3.28m,2.30m,0.37m,N/A,0.60m,23rd Aug 16
752,True Crime: Streets of LA,PS2,Activision,N/A,3.27m,1.89m,1.05m,0.02m,0.31m,03rd Nov 03
753,Gran Turismo (PSP),PSP,Sony Computer Entertainment,N/A,3.27m,0.51m,1.59m,0.31m,0.86m,01st Oct 09
754,Far Cry 3,PS3,Ubisoft,N/A,3.27m,0.88m,1.79m,0.10m,0.50m,04th Dec 12
755,God of War: Chains of Olympus,PSP,Sony Computer Entertainment,3.26m,N/A,N/A,N/A,N/A,N/A,04th Mar 08
756,FIFA 16,XOne,EA Sports,N/A,3.25m,0.92m,2.10m,N/A,0.24m,22nd Sep 15
757,Tekken,PS,Namco,N/A,3.24m,0.95m,1.30m,0.77m,0.22m,08th Nov 95
758,Flash Focus: Vision Training in Minutes a Day,DS,Nintendo,3.23m,N/A,N/A,N/A,N/A,N/A,15th Oct 07
759,007: Tomorrow Never Dies,PS,Electronic Arts,N/A,3.21m,1.72m,1.33m,N/A,0.16m,16th Nov 99
760,L.A. Noire,PS3,Rockstar Games,N/A,3.21m,1.29m,1.31m,0.12m,0.49m,15th Nov 11
761,Baseball,NES,Nintendo,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 85
762,Breath of Fire,Series,Capcom,3.20m,N/A,N/A,N/A,N/A,N/A,10th Aug 94
763,Detroit: Become Human,PS4,Sony Interactive Entertainment,3.20m,N/A,N/A,N/A,N/A,N/A,25th May 18
764,Dragon Quest IV,NES,Enix,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 92
765,Dragon Quest VI: Maboroshi no Daichi,SNES,Enix,3.20m,N/A,N/A,N/A,N/A,N/A,09th Dec 95
766,Final Fight,Series,Capcom,3.20m,N/A,N/A,N/A,N/A,N/A,01st Dec 89
767,Killer Instinct,SNES,Nintendo,3.20m,N/A,N/A,N/A,N/A,N/A,01st Aug 95
768,WWF SmackDown! 2: Know Your Role,PS,THQ,N/A,3.20m,1.76m,1.21m,0.07m,0.16m,21st Nov 00
769,Middle-Earth: Shadow of Mordor,PS4,Warner Bros. Interactive Entertainment,N/A,3.19m,1.03m,1.60m,0.05m,0.51m,30th Sep 14
770,Assassin's Creed IV: Black Flag,PS4,Ubisoft,N/A,3.19m,1.07m,1.55m,0.06m,0.51m,15th Nov 13
771,Front Mission,Series,Square,3.18m,N/A,N/A,N/A,N/A,N/A,29th Feb 00
772,Personal Trainer: Cooking,DS,Nintendo,3.18m,N/A,N/A,N/A,N/A,N/A,24th Nov 08
773,Enter the Matrix,PS2,Atari,N/A,3.18m,1.78m,1.12m,0.09m,0.19m,14th May 03
774,Assassin's Creed Odyssey,PS4,Ubisoft,N/A,3.18m,1.18m,1.40m,0.09m,0.51m,05th Oct 18
775,Fallout: New Vegas,PS3,Bethesda Softworks,N/A,3.17m,1.54m,1.04m,0.10m,0.49m,19th Oct 10
776,Sonic Heroes,PS2,Sega,3.16m,N/A,N/A,N/A,N/A,N/A,27th Jan 04
777,Club Penguin: Elite Penguin Force,DS,Disney Interactive Studios,N/A,3.14m,1.87m,0.97m,N/A,0.30m,25th Nov 08
778,FIFA Soccer 08,PS2,EA Sports,N/A,3.14m,0.68m,0.00m,N/A,2.46m,09th Oct 07
779,FIFA 18,XOne,EA Sports,N/A,3.14m,0.98m,1.92m,N/A,0.23m,29th Sep 17
780,Spider-Man,PS,Activision,N/A,3.13m,1.70m,1.25m,0.02m,0.16m,30th Aug 00
781,Need for Speed III: Hot Pursuit,PS,Electronic Arts,N/A,3.12m,2.14m,0.86m,N/A,0.13m,25th Mar 98
782,The Elder Scrolls IV: Oblivion,PS3,Bethesda Softworks,N/A,3.12m,1.69m,0.86m,0.14m,0.44m,20th Mar 07
783,Star Wars Episode I Racer,N64,LucasArts,3.12m,N/A,N/A,N/A,N/A,N/A,19th May 99
784,Tekken 6,PS3,Namco Bandai,3.12m,N/A,N/A,N/A,N/A,N/A,27th Oct 09
785,Yoshi,GB,Nintendo,3.12m,N/A,N/A,N/A,N/A,N/A,01st Jul 92
786,Resident Evil 6,PS3,Capcom,N/A,3.12m,0.88m,0.97m,0.88m,0.39m,02nd Oct 12
787,Tom Clancy's Ghost Recon Wildlands,PS4,Ubisoft,N/A,3.12m,1.07m,1.35m,0.22m,0.47m,07th Mar 17
788,NBA 2K13,X360,2K Sports,N/A,3.11m,2.62m,0.21m,0.01m,0.28m,02nd Oct 12
789,Titanfall,XOne,Electronic Arts,N/A,3.11m,1.88m,0.91m,0.04m,0.28m,11th Mar 14
790,Mario Party 9,Wii,Nintendo,3.11m,N/A,N/A,N/A,N/A,N/A,11th Mar 12
791,Parasite Eve,Series,Square,3.10m,N/A,N/A,N/A,N/A,N/A,09th Sep 98
792,Mass Effect 2,X360,Electronic Arts,N/A,3.10m,1.99m,0.81m,0.03m,0.27m,26th Jan 10
793,The Legend of Zelda: Majora's Mask 3D,3DS,Nintendo,3.09m,N/A,N/A,N/A,N/A,N/A,13th Feb 15
794,Madden NFL 2002,PS2,EA Sports,N/A,3.08m,2.50m,0.16m,0.01m,0.42m,19th Aug 01
795,World Class Track Meet,NES,Bandai,3.08m,N/A,N/A,N/A,N/A,N/A,01st Sep 87
796,LEGO Batman: The Videogame,Wii,Warner Bros. Interactive,N/A,3.08m,1.80m,0.98m,N/A,0.29m,23rd Sep 08
797,Saints Row 2,X360,THQ,N/A,3.07m,1.98m,0.79m,0.02m,0.28m,14th Oct 08
798,Donkey Kong,GB,Nintendo,3.07m,N/A,N/A,N/A,N/A,N/A,01st Jun 94
799,The Sims: Vacation,PC,Electronic Arts,N/A,3.07m,1.72m,1.21m,N/A,0.14m,25th Mar 02
800,Call of Duty: Ghosts,XOne,Activision,N/A,3.07m,1.92m,0.86m,N/A,0.28m,22nd Nov 13
801,LEGO Batman: The Videogame,DS,Warner Bros. Interactive,N/A,3.06m,1.75m,1.02m,N/A,0.29m,23rd Sep 08
802,Borderlands 2,X360,2K Games,N/A,3.06m,1.89m,0.88m,0.04m,0.26m,15th Jan 13
803,New Super Luigi U,WiiU,Nintendo,3.05m,N/A,N/A,N/A,N/A,N/A,25th Aug 13
804,Kung Fu Panda,X360,Activision,N/A,3.05m,1.91m,0.84m,N/A,0.29m,03rd Jun 08
805,Mass Effect 3,X360,Electronic Arts,N/A,3.04m,1.94m,0.84m,0.03m,0.24m,06th Mar 12
806,Rhythm Heaven,DS,Nintendo,3.04m,N/A,N/A,N/A,N/A,N/A,05th Apr 09
807,Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment,N/A,3.04m,0.97m,1.15m,0.50m,0.42m,01st Sep 15
808,Rayman,PS,Ubisoft,N/A,3.03m,1.54m,1.33m,N/A,0.16m,01st Sep 95
809,Tom Clancy's Splinter Cell,XB,Ubisoft,N/A,3.02m,1.85m,1.04m,N/A,0.13m,17th Nov 02
810,Mike Tyson's Punch-Out!!,NES,Nintendo,3.02m,N/A,N/A,N/A,N/A,N/A,01st Oct 87
811,Professor Layton and the Unwound Future,DS,Nintendo,3.02m,N/A,N/A,N/A,N/A,N/A,12th Sep 10
812,WWE SmackDown! Shut Your Mouth,PS2,THQ,N/A,3.02m,1.45m,1.13m,0.07m,0.38m,31st Oct 02
813,Disney Epic Mickey,Wii,Disney Interactive Studios,N/A,3.02m,2.04m,0.63m,0.12m,0.23m,30th Nov 10
814,Killzone 2,PS3,Sony Computer Entertainment,N/A,3.02m,1.40m,1.07m,0.08m,0.46m,27th Feb 09
815,1-2-Switch,NS,Nintendo,3.01m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17
816,Crysis,PC,Electronic Arts,3.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 07
817,DayZ,PC,Bohemia Interactive,3.00m,N/A,N/A,N/A,N/A,N/A,09th Jul 12
818,Fable,XB,Microsoft Game Studios,3.00m,N/A,N/A,N/A,N/A,N/A,14th Sep 04
819,Gears of War 3,X360,Microsoft Studios,3.00m,N/A,N/A,N/A,N/A,N/A,20th Sep 11
820,Gungeon,Series,Devolver Digital,3.00m,N/A,N/A,N/A,N/A,N/A,05th Apr 16
821,Heavy Rain,PS3,Sony Computer Entertainment,3.00m,N/A,N/A,N/A,N/A,N/A,23rd Feb 10
822,Kinect Sports,X360,Microsoft Game Studios,3.00m,N/A,N/A,N/A,N/A,N/A,04th Nov 10
823,MotorStorm,PS3,Sony Computer Entertainment,3.00m,N/A,N/A,N/A,N/A,N/A,06th Mar 07
824,Nioh,Series,Koei Tecmo,3.00m,N/A,N/A,N/A,N/A,N/A,07th Feb 17
825,Rally Championship,Series,Unknown,3.00m,N/A,N/A,N/A,N/A,N/A,N/A
826,Sonic and the Secret Rings,Wii,Sega,3.00m,N/A,N/A,N/A,N/A,N/A,20th Feb 07
827,Sonic Rush,DS,Sega,3.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 05
828,Space Engineers,PC,Keen Software House,3.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 19
829,Torchlight II,PC,Runic Games,3.00m,N/A,N/A,N/A,N/A,N/A,20th Sep 12
830,Warcraft II: Tides of Darkness,PC,Blizzard Entertainment,3.00m,N/A,N/A,N/A,N/A,N/A,30th Apr 96
831,Warhammer: Vermintide,Series,Fatshark,3.00m,N/A,N/A,N/A,N/A,N/A,23rd Oct 15
832,Your Shape,Series,Ubisoft,3.00m,N/A,N/A,N/A,N/A,N/A,24th Nov 09
833,WWE SmackDown! vs. Raw 2006,PS2,THQ,N/A,3.00m,1.57m,1.02m,N/A,0.41m,15th Nov 05
834,Kirby Super Star Ultra,DS,Nintendo,2.99m,N/A,N/A,N/A,N/A,N/A,22nd Sep 08
835,Star Fox,SNES,Nintendo,2.99m,N/A,N/A,N/A,N/A,N/A,01st Mar 93
836,The Sims: Livin Large,PC,Electronic Arts,N/A,2.99m,1.67m,1.18m,N/A,0.13m,27th Aug 00
837,World Soccer Winning Eleven 6 International,PS2,Konami,N/A,2.99m,0.12m,1.26m,1.16m,0.45m,11th Mar 03
838,Far Cry 3,X360,Ubisoft,N/A,2.98m,1.38m,1.33m,0.02m,0.25m,04th Dec 12
839,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,2.98m,N/A,N/A,N/A,N/A,N/A,14th Nov 10
840,Style Savvy,DS,Nintendo,2.98m,N/A,N/A,N/A,N/A,N/A,02nd Nov 09
841,Super Meat Boy,PC,Unknown,2.97m,N/A,N/A,N/A,N/A,N/A,30th Nov 10
842,Yokai Watch,3DS,Nintendo,2.97m,N/A,N/A,N/A,N/A,N/A,06th Nov 15
843,The Legend of Zelda: Spirit Tracks,DS,Nintendo,2.96m,N/A,N/A,N/A,N/A,N/A,07th Dec 09
844,Battlefield: Bad Company 2,PS3,Electronic Arts,N/A,2.96m,1.33m,1.11m,0.08m,0.44m,02nd Mar 10
845,Hitman 2: Silent Assassin,PS2,Eidos Interactive,N/A,2.96m,1.36m,1.15m,0.04m,0.41m,01st Oct 02
846,Yokai Watch 2: Psychic Specters,3DS,Nintendo,N/A,2.95m,0.12m,0.12m,2.69m,0.02m,29th Sep 17
847,Street Fighter IV,X360,Capcom,N/A,2.95m,1.83m,0.70m,0.15m,0.26m,17th Feb 09
848,SOCOM II: U.S. Navy SEALs,PS2,Sony Computer Entertainment,N/A,2.94m,2.22m,0.51m,0.06m,0.15m,04th Nov 03
849,WWE SmackDown! vs. RAW 2006,PS2,THQ,N/A,2.94m,1.45m,1.11m,0.04m,0.33m,14th Nov 05
850,Fire Emblem Fates,3DS,Nintendo,2.94m,N/A,N/A,N/A,N/A,N/A,19th Feb 16
851,Wave Race 64,N64,Nintendo,2.94m,N/A,N/A,N/A,N/A,N/A,05th Nov 96
852,Pac-Man Collection,GBA,Namco,N/A,2.94m,2.07m,0.77m,0.05m,0.05m,12th Jul 01
853,Pokémon Ranger,DS,Nintendo,2.93m,N/A,N/A,N/A,N/A,N/A,30th Oct 06
854,Madden NFL 13,X360,EA Sports,N/A,2.93m,2.53m,0.16m,N/A,0.24m,28th Aug 12
855,Doom (2016),PS4,Bethesda Softworks,N/A,2.92m,0.93m,1.48m,0.04m,0.46m,13th May 16
856,Mass Effect,X360,Microsoft Game Studios,N/A,2.91m,1.83m,0.79m,0.03m,0.27m,20th Nov 07
857,FIFA 15,X360,EA Sports,N/A,2.91m,0.80m,1.90m,N/A,0.21m,23rd Sep 14
858,Counter-Strike: Condition Zero,PC,Sierra Entertainment,2.90m,N/A,N/A,N/A,N/A,N/A,23rd Mar 04
859,Dragon Ball Z: Budokai 2,PS2,Atari,2.90m,N/A,N/A,N/A,N/A,N/A,04th Dec 03
860,Final Fantasy III,SNES,Square,2.90m,N/A,N/A,N/A,N/A,N/A,20th Oct 94
861,Mortal Kombat (2011),PS3,Warner Bros. Interactive Entertainment,N/A,2.90m,1.98m,0.54m,N/A,0.38m,19th Apr 11
862,World Soccer Winning Eleven 7 International,PS2,Konami,N/A,2.90m,0.08m,1.24m,1.13m,0.45m,17th Feb 04
863,Sega Superstars Tennis,X360,Sega,N/A,2.89m,1.75m,0.86m,N/A,0.28m,18th Mar 08
864,Cooking Mama: Cook Off,Wii,Majesco,N/A,2.89m,1.41m,1.12m,0.05m,0.30m,20th Mar 07
865,Hot Shots Golf 3,PS2,Sony Computer Entertainment,N/A,2.89m,0.99m,0.32m,1.38m,0.20m,11th Mar 02
866,Call of Duty: Finest Hour,PS2,Activision,N/A,2.89m,1.51m,1.12m,0.01m,0.24m,16th Nov 04
867,Syphon Filter,PS,989 Studios,N/A,2.88m,2.03m,0.72m,0.02m,0.11m,31st Jan 99
868,Imagine: Babyz,DS,Ubisoft,N/A,2.87m,1.30m,1.26m,N/A,0.31m,23rd Oct 07
869,Mafia III,PS4,2K Games,N/A,2.87m,0.72m,1.67m,0.04m,0.44m,07th Oct 16
870,Subnautica,PC,Unknown Worlds Entertainment,2.87m,N/A,N/A,N/A,N/A,N/A,23rd Jan 18
871,Colin McRae Rally,PS,Sony Computer Entertainment,N/A,2.87m,0.09m,2.43m,0.12m,0.22m,31st Jan 00
872,Wii Music,Wii,Nintendo,2.86m,N/A,N/A,N/A,N/A,N/A,20th Oct 08
873,The Elder Scrolls III: Morrowind,XB,Bethesda Softworks,N/A,2.86m,2.09m,0.63m,0.03m,0.11m,06th Jun 02
874,Prison Architect,PC,Introversion Software,2.86m,N/A,N/A,N/A,N/A,N/A,06th Oct 15
875,Assassin's Creed: Brotherhood,PS3,Ubisoft,N/A,2.85m,1.87m,0.57m,0.11m,0.30m,16th Nov 10
876,Command & Conquer: Red Alert,PC,Virgin Interactive,N/A,2.85m,1.37m,1.34m,N/A,0.14m,01st Nov 96
877,F-Zero,SNES,Nintendo,2.85m,N/A,N/A,N/A,N/A,N/A,13th Aug 91
878,Yoshi's Story,N64,Nintendo,2.85m,N/A,N/A,N/A,N/A,N/A,01st Mar 98
879,The Walking Dead: A Telltale Games Series,PC,Telltale Games,2.85m,N/A,N/A,N/A,N/A,N/A,11th Dec 12
880,Metroid Prime,GC,Nintendo,2.84m,N/A,N/A,N/A,N/A,N/A,17th Nov 02
881,Zumba Fitness 2,Wii,Majesco,N/A,2.83m,1.52m,1.05m,N/A,0.26m,15th Nov 11
882,Madden NFL 10,X360,EA Sports,N/A,2.83m,2.52m,0.09m,N/A,0.22m,14th Aug 09
883,BioShock,X360,2K Games,N/A,2.83m,1.65m,0.85m,0.05m,0.28m,21st Aug 07
884,Mario Party: Island Tour,3DS,Nintendo,2.83m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13
885,Yoshi's Island: Super Mario Advance 3,GBA,Nintendo,2.83m,N/A,N/A,N/A,N/A,N/A,24th Sep 02
886,WWE SmackDown! vs. Raw,PS2,THQ,N/A,2.83m,1.32m,1.08m,0.04m,0.39m,02nd Nov 04
887,Finding Nemo,GBA,THQ,N/A,2.82m,1.59m,1.05m,0.04m,0.14m,10th May 03
888,Medal of Honor,PS3,Electronic Arts,N/A,2.82m,1.28m,1.04m,0.07m,0.43m,12th Oct 10
889,Diablo III: Ultimate Evil Edition,PS4,Blizzard Entertainment,N/A,2.82m,0.83m,1.48m,0.08m,0.44m,19th Aug 14
890,The Legend of Zelda: A Link to the Past,GBA,Nintendo,2.82m,N/A,N/A,N/A,N/A,N/A,03rd Dec 02
891,Gran Turismo (PSP),PSN,Sony Computer Entertainment,N/A,2.82m,0.43m,0.91m,0.31m,1.16m,01st Oct 09
892,Thief,Series,Eidos Interactive,2.81m,N/A,N/A,N/A,N/A,N/A,01st Dec 98
893,Need for Speed: Hot Pursuit,PS3,Electronic Arts,N/A,2.81m,1.05m,1.24m,0.03m,0.49m,16th Nov 10
894,Imagine: Fashion Designer,DS,Ubisoft,N/A,2.81m,1.32m,1.19m,N/A,0.30m,23rd Oct 07
895,Killzone 3,PS3,Sony Computer Entertainment,N/A,2.81m,1.46m,0.87m,0.09m,0.38m,22nd Feb 11
896,Hitman: Absolution,PC,Square Enix,2.81m,N/A,N/A,N/A,N/A,N/A,20th Nov 12
897,WWE SmackDown! Here Comes the Pain,PS2,THQ,N/A,2.80m,1.32m,1.06m,0.04m,0.38m,27th Oct 03
898,Dragon Quest V: Tenkuu no Hanayome,SNES,Enix,2.80m,N/A,N/A,N/A,N/A,N/A,27th Sep 92
899,Hollow Knight,Series,Team Cherry,2.80m,N/A,N/A,N/A,N/A,N/A,24th Feb 17
900,Infestation: Survivor Stories,PC,Unknown,2.80m,N/A,N/A,N/A,N/A,N/A,N/A
901,Ni no Kuni,Series,Namco Bandai Games,2.80m,N/A,N/A,N/A,N/A,N/A,22nd Jan 13
902,Okami,Series,Capcom,2.80m,N/A,N/A,N/A,N/A,N/A,19th Sep 06
903,Tekken 5,PS2,Namco,2.80m,N/A,N/A,N/A,N/A,N/A,24th Feb 05
904,Hot Shots Golf,PS,Sony Computer Entertainment,N/A,2.79m,0.29m,0.20m,2.13m,0.18m,05th May 98
905,Trine 2,PC,Frozenbyte,2.79m,N/A,N/A,N/A,N/A,N/A,07th Dec 11
906,Skylanders: Spyro's Adventure,Wii,Activision,N/A,2.79m,1.35m,1.15m,N/A,0.30m,16th Oct 11
907,A Bug's Life,PS,Sony Computer Entertainment,N/A,2.79m,1.96m,0.72m,N/A,0.11m,31st Oct 98
908,WWF SmackDown! Just Bring It,PS2,THQ,N/A,2.79m,1.19m,1.15m,0.04m,0.41m,18th Nov 01
909,Mortal Kombat Trilogy,PS,Midway Games,N/A,2.79m,1.98m,0.70m,N/A,0.11m,01st Sep 96
910,NBA Street,PS2,EA Sports BIG,N/A,2.79m,2.19m,0.22m,N/A,0.38m,18th Jun 01
911,Jak II,PS2,Sony Computer Entertainment,N/A,2.78m,1.68m,0.74m,N/A,0.36m,14th Oct 03
912,Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment,N/A,2.78m,1.44m,0.83m,0.26m,0.25m,11th Nov 03
913,The Sims,PS2,Electronic Arts,N/A,2.77m,1.41m,1.12m,N/A,0.24m,12th Jan 03
914,Star Wars: The Force Unleashed,X360,LucasArts,N/A,2.77m,1.74m,0.78m,N/A,0.26m,16th Sep 08
915,Saints Row: The Third,X360,THQ,N/A,2.77m,1.26m,1.14m,0.07m,0.30m,15th Nov 11
916,Donkey Kong Country Returns 3D,3DS,Nintendo,2.76m,N/A,N/A,N/A,N/A,N/A,24th May 13
917,Missile Command,2600,Atari,N/A,2.76m,2.56m,0.17m,N/A,0.03m,01st Jan 81
918,Battlefield 3,PC,Electronic Arts,N/A,2.76m,0.89m,1.44m,N/A,0.43m,25th Oct 11
919,The Binding of Isaac: Rebirth,PC,Nicalis,2.76m,N/A,N/A,N/A,N/A,N/A,04th Nov 14
920,Mario Tennis Aces,NS,Nintendo,2.75m,N/A,N/A,N/A,N/A,N/A,22nd Jun 18
921,Resident Evil,PS,Capcom,2.75m,N/A,N/A,N/A,N/A,N/A,30th Mar 96
922,Need for Speed: Most Wanted (2012),PS3,Electronic Arts,N/A,2.74m,0.71m,1.52m,0.06m,0.45m,30th Oct 12
923,Tetris DS,DS,Nintendo,2.74m,N/A,N/A,N/A,N/A,N/A,20th Mar 06
924,L.A. Noire,X360,Rockstar Games,N/A,2.73m,1.55m,0.92m,0.02m,0.24m,15th Nov 11
925,Metroid,NES,Nintendo,2.73m,N/A,N/A,N/A,N/A,N/A,15th Aug 87
926,Far Cry: Primal,PS4,Ubisoft,N/A,2.73m,0.63m,1.61m,0.07m,0.41m,23rd Feb 16
927,"Pokémon: Let's Go, Eevee!",NS,Nintendo,N/A,2.73m,1.22m,0.80m,0.51m,0.20m,16th Nov 18
928,Overwatch,XOne,Blizzard Entertainment,N/A,2.72m,1.63m,0.84m,N/A,0.25m,24th May 16
929,Need for Speed (2015),PS4,Electronic Arts,N/A,2.72m,0.59m,1.66m,0.06m,0.41m,03rd Nov 15
930,Madden NFL 13,PS3,EA Sports,N/A,2.71m,2.12m,0.24m,N/A,0.36m,28th Aug 12
931,Skate 3,X360,EA Sports,N/A,2.71m,1.47m,0.99m,N/A,0.25m,11th May 10
932,Tom Clancy's Rainbow Six: Siege,XOne,Ubisoft,N/A,2.71m,1.62m,0.84m,N/A,0.25m,01st Dec 15
933,Divinity: Original Sin,PC,Focus Home Interactive,2.71m,N/A,N/A,N/A,N/A,N/A,27th Oct 15
934,Madden NFL 12,X360,EA Sports,N/A,2.70m,2.43m,0.11m,N/A,0.16m,30th Aug 11
935,1602 A.D.,PC,Sunflowers,2.70m,N/A,N/A,N/A,N/A,N/A,01st Feb 00
936,Dead Rising 3,XOne,Microsoft Studios,2.70m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13
937,Mario Party,N64,Nintendo,2.70m,N/A,N/A,N/A,N/A,N/A,08th Feb 99
938,World of Warcraft: Mists of Pandaria,PC,Blizzard Entertainment,2.70m,N/A,N/A,N/A,N/A,N/A,25th Sep 12
939,Call of Duty 3,X360,Activision,N/A,2.70m,1.49m,0.92m,0.02m,0.27m,07th Nov 06
940,LEGO Star Wars II: The Original Trilogy,PS2,LucasArts,N/A,2.69m,1.85m,0.64m,0.01m,0.19m,12th Sep 06
941,Madden NFL 11,X360,EA Sports,N/A,2.69m,2.38m,0.12m,N/A,0.19m,10th Aug 10
942,Burnout 3: Takedown,PS2,Electronic Arts,N/A,2.68m,1.23m,1.11m,N/A,0.34m,07th Sep 04
943,Mortal Kombat,GEN,Arena Entertainment,N/A,2.67m,1.95m,0.63m,N/A,0.09m,13th Sep 93
944,Halo Wars,X360,Microsoft Game Studios,N/A,2.67m,1.58m,0.80m,0.04m,0.25m,03rd Mar 09
945,Call of Duty 2: Big Red One,PS2,Activision,N/A,2.67m,1.48m,0.92m,0.01m,0.26m,01st Nov 05
946,Medal of Honor,PS,Electronic Arts,N/A,2.67m,1.44m,1.09m,N/A,0.14m,11th Nov 99
947,Guitar Hero: World Tour,X360,Activision,N/A,2.66m,1.78m,0.64m,N/A,0.25m,26th Oct 08
948,WWE SmackDown! Shut Your Mouth,PS2,THQ,N/A,2.66m,1.32m,1.29m,0.04m,N/A,31st Oct 02
949,Final Fantasy XIII-2,PS3,Square Enix,N/A,2.66m,0.78m,0.75m,0.89m,0.23m,31st Jan 12
950,Medal of Honor Heroes,PSP,Electronic Arts,N/A,2.66m,0.86m,1.11m,0.01m,0.67m,20th Oct 06
951,Hannah Montana,DS,Buena Vista,N/A,2.65m,1.59m,0.80m,N/A,0.26m,10th Oct 06
952,Need for Speed: Shift,PS3,Electronic Arts,N/A,2.65m,0.69m,1.40m,0.04m,0.52m,15th Sep 09
953,Tom Clancy's Splinter Cell,PS2,Ubisoft,N/A,2.65m,1.15m,1.11m,N/A,0.40m,08th Apr 03
954,Star Wars: Shadows of the Empire,N64,Nintendo,2.65m,N/A,N/A,N/A,N/A,N/A,03rd Dec 96
955,Super Mario Bros. 2 (FDS),NES,Nintendo,2.65m,N/A,N/A,N/A,N/A,N/A,03rd Jun 86
956,Ace Combat 04: Shattered Skies,PS2,Namco,2.64m,N/A,N/A,N/A,N/A,N/A,01st Nov 01
957,Medal of Honor,X360,Electronic Arts,N/A,2.64m,1.58m,0.80m,0.04m,0.22m,12th Oct 10
958,NBA 2K12,X360,2K Sports,N/A,2.64m,2.32m,0.14m,0.01m,0.17m,04th Oct 11
959,Midnight Club: Street Racing,PS2,Rockstar Games,N/A,2.63m,2.00m,0.47m,0.02m,0.14m,25th Oct 00
960,NBA 2K13,PS3,2K Sports,N/A,2.63m,1.74m,0.46m,0.05m,0.39m,02nd Oct 12
961,Mario & Luigi: Dream Team,3DS,Nintendo,2.63m,N/A,N/A,N/A,N/A,N/A,11th Aug 13
