Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
167,Burnout,Series,Acclaim Entertainment,15.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 01
168,Famista,Series,Namco,15.00m,N/A,N/A,N/A,N/A,N/A,10th Dec 86
169,Gex,Series,BMG Interactive Entertainment,15.00m,N/A,N/A,N/A,N/A,N/A,01st Apr 95
170,Just Cause,Series,Eidos Interactive,15.00m,N/A,N/A,N/A,N/A,N/A,27th Sep 06
171,Sonic the Hedgehog,GEN,Sega,15.00m,N/A,N/A,N/A,N/A,N/A,23rd Jun 91
172,SoulCalibur,Series,Namco,15.00m,N/A,N/A,N/A,N/A,N/A,20th Dec 96
173,Mario Tennis,Series,Nintendo,14.92m,N/A,N/A,N/A,N/A,N/A,14th Aug 95
174,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,14.89m,N/A,N/A,N/A,N/A,N/A,09th Jul 01
175,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,14.88m,N/A,N/A,N/A,N/A,N/A,20th Aug 07
176,Luigi's Mansion,Series,Nintendo,14.86m,N/A,N/A,N/A,N/A,N/A,18th Nov 01
177,Call of Duty: Modern Warfare 3,X360,Activision,N/A,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11
178,Splatoon,Series,Nintendo,14.75m,N/A,N/A,N/A,N/A,N/A,29th May 15
179,Call of Duty: Black Ops,X360,Activision,N/A,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10
180,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,14.64m,N/A,N/A,N/A,N/A,N/A,19th Oct 99
181,Ace Combat,Series,Namco,14.50m,N/A,N/A,N/A,N/A,N/A,09th Sep 95
182,Halo 3,X360,Microsoft Game Studios,14.50m,N/A,N/A,N/A,N/A,N/A,25th Sep 07
183,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo,14.26m,N/A,N/A,N/A,N/A,N/A,21st Nov 14
184,Everybody's Golf,Series,Sony Computer Entertainment,14.19m,N/A,N/A,N/A,N/A,N/A,30th Apr 98
185,Terraria,PC,Unknown,14.00m,N/A,N/A,N/A,N/A,N/A,16th May 11
186,Yo-kai Watch,Series,Nintendo,14.00m,N/A,N/A,N/A,N/A,N/A,06th Nov 15
187,Red Dead Redemption 2,PS4,Rockstar Games,N/A,13.94m,5.26m,6.21m,0.21m,2.26m,26th Oct 18
188,Call of Duty: Black Ops II,X360,Activision,N/A,13.86m,8.27m,4.32m,0.07m,1.20m,13th Nov 12
189,Call of Duty: Black Ops II,PS3,Activision,N/A,13.80m,4.99m,5.88m,0.65m,2.28m,13th Nov 12
190,Call of Duty: Modern Warfare 2,X360,Activision,N/A,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09
191,Guild Wars,Series,NCSoft,13.50m,N/A,N/A,N/A,N/A,N/A,26th Apr 05
192,Call of Duty: WWII,PS4,Activision,N/A,13.40m,4.67m,6.21m,0.40m,2.12m,03rd Nov 17
193,Call of Duty: Modern Warfare 3,PS3,Activision,N/A,13.35m,5.54m,5.78m,0.49m,1.54m,08th Nov 11
194,New Super Mario Bros. 2,3DS,Nintendo,13.32m,N/A,N/A,N/A,N/A,N/A,19th Aug 12
195,Super Smash Bros. Brawl,Wii,Nintendo,13.30m,N/A,N/A,N/A,N/A,N/A,09th Mar 08
196,Marvel's Spider-Man,PS4,Sony Interactive Entertainment,13.20m,N/A,N/A,N/A,N/A,N/A,07th Sep 18
197,Grand Theft Auto III,PS2,Rockstar Games,N/A,13.10m,6.99m,4.51m,0.30m,1.30m,23rd Oct 01
198,Portal 2,PC,Valve,13.06m,N/A,N/A,N/A,N/A,N/A,19th Apr 11
199,Saints Row,Series,THQ,13.04m,N/A,N/A,N/A,N/A,N/A,29th Aug 06
200,Dead Rising,Series,Capcom,13.00m,N/A,N/A,N/A,N/A,N/A,08th Aug 06
201,Minecraft,X360,Microsoft Studios,13.00m,N/A,N/A,N/A,N/A,N/A,04th Jun 13
202,Scribblenauts,Series,Warner Bros. Interactive Entertainment,13.00m,N/A,N/A,N/A,N/A,N/A,15th Sep 09
203,Super Mario Galaxy,Wii,Nintendo,12.79m,N/A,N/A,N/A,N/A,N/A,12th Nov 07
204,Pokémon Heart Gold / Soul Silver Version,DS,Nintendo,12.72m,N/A,N/A,N/A,N/A,N/A,14th Mar 10
205,Call of Duty: Black Ops,PS3,Activision,N/A,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10
206,Super Mario 3D Land,3DS,Nintendo,12.67m,N/A,N/A,N/A,N/A,N/A,13th Nov 11
207,Grand Theft Auto V,PC,Rockstar Games,12.60m,N/A,N/A,N/A,N/A,N/A,14th Apr 15
208,Myst,Series,Broderbund,12.50m,N/A,N/A,N/A,N/A,N/A,24th Sep 93
209,Animal Crossing: New Leaf,3DS,Nintendo,12.45m,N/A,N/A,N/A,N/A,N/A,09th Jun 13
210,Momotaro Dentetsu,Series,Hudson Soft,12.41m,N/A,N/A,N/A,N/A,N/A,02nd Dec 88
211,The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,12.40m,N/A,N/A,N/A,N/A,N/A,19th May 15
212,Wario,Series,Nintendo,12.13m,N/A,N/A,N/A,N/A,N/A,13th Mar 94
213,Mario & Luigi,Series,Nintendo,12.12m,N/A,N/A,N/A,N/A,N/A,17th Nov 03
214,Cooking Mama,Series,Majesco Entertainment,12.00m,N/A,N/A,N/A,N/A,N/A,12th Sep 06
215,Diablo III,PC,Blizzard Entertainment,12.00m,N/A,N/A,N/A,N/A,N/A,15th May 12
216,Half-Life 2,PC,VU Games,12.00m,N/A,N/A,N/A,N/A,N/A,16th Nov 04
217,Jak and Daxter,Series,Sony Computer Entertainment,12.00m,N/A,N/A,N/A,N/A,N/A,03rd Dec 01
218,Left 4 Dead,Series,Valve,12.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 08
219,Pokémon FireRed / LeafGreen Version,GBA,Nintendo,12.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 04
220,SOCOM,Series,Sony Computer Entertainment,12.00m,N/A,N/A,N/A,N/A,N/A,27th Aug 02
221,World of Warcraft,PC,Blizzard Entertainment,12.00m,N/A,N/A,N/A,N/A,N/A,23rd Nov 04
222,Yakuza,Series,Sega,12.00m,N/A,N/A,N/A,N/A,N/A,05th Sep 06
223,Gran Turismo 5,PS3,Sony Computer Entertainment,11.95m,N/A,N/A,N/A,N/A,N/A,24th Nov 10
224,Super Mario 64,N64,Nintendo,11.91m,N/A,N/A,N/A,N/A,N/A,26th Sep 96
225,FIFA 18,PS4,EA Sports,N/A,11.80m,1.27m,8.64m,0.15m,1.73m,29th Sep 17
226,The Last of Us Remastered,PS4,Sony Computer Entertainment,11.78m,N/A,N/A,N/A,N/A,N/A,29th Jul 14
227,Gran Turismo 4,PS2,Sony Computer Entertainment,11.76m,N/A,N/A,N/A,N/A,N/A,22nd Feb 05
228,"Pokémon: Let's Go, Pikachu/Eevee",NS,Nintendo,11.76m,N/A,N/A,N/A,N/A,N/A,16th Nov 18
229,Animal Crossing: Wild World,DS,Nintendo,11.75m,N/A,N/A,N/A,N/A,N/A,05th Dec 05
230,The Room,Series,Unknown,11.50m,N/A,N/A,N/A,N/A,N/A,N/A
231,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,11.18m,N/A,N/A,N/A,N/A,N/A,02nd Nov 92
232,Wii Party,Series,Nintendo,11.12m,N/A,N/A,N/A,N/A,N/A,03rd Oct 10
233,Grand Theft Auto IV,X360,Rockstar Games,N/A,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08
234,Super Mario 64 DS,DS,Nintendo,11.06m,N/A,N/A,N/A,N/A,N/A,20th Nov 04
235,Dance Dance Revolution,Series,Konami,11.00m,N/A,N/A,N/A,N/A,N/A,26th Sep 98
236,God of War (2018),PS4,Sony Interactive Entertainment,11.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 18
237,StarCraft,PC,Blizzard Entertainment,11.00m,N/A,N/A,N/A,N/A,N/A,01st Apr 98
238,FIFA 17,PS4,Electronic Arts,N/A,10.94m,1.26m,7.95m,0.12m,1.61m,27th Sep 16
239,Gran Turismo,PS,Sony Computer Entertainment,10.85m,N/A,N/A,N/A,N/A,N/A,30th Apr 98
